#{"t_start": 1786032094.7954583, "env_id": "rendezvous-v1"}
r,l,t
-874.923722,30,120.042588
-1404.900681,30,120.269228
-2116.152499,30,120.494908
-771.44063,30,120.721414
-680.792696,30,120.954962
-10328.064413,20,121.173769
-14329.49421,16,121.185275
-574.829609,30,121.408584
-756.91816,30,121.639412
-732.102415,30,121.869067
-847.314972,30,122.093532
-734.904084,30,122.316069
-571.479459,30,122.543451
-3245.304391,30,122.772378
-946.891305,30,122.992235
-1141.255153,30,123.212439
-3923.012023,30,123.437563
-1860.739045,30,123.676645
-1447.347134,30,123.902066
-1058.717041,30,124.129281
-1456.025068,30,124.357
-1338.224873,30,124.577761
-1351.020602,30,124.804754
-2466.756642,28,125.031073
-1030.281586,30,125.250977
-4546.032308,26,125.47222
-1348.09553,30,125.695897
-2106.168485,30,125.929022
-855.820617,30,126.151018
-642.998448,30,126.382707
-12414.462731,18,126.595699
-13193.84886,17,126.607265
-883.896129,30,126.837793
-656.61975,30,127.067802
-8364.417177,22,127.289093
-820.911132,30,127.512132
-4531.206972,26,127.737504
-1814.853874,29,127.958971
-826.60026,30,128.198217
-1185.380071,30,128.444929
-1336.584508,30,128.674486
-518.968767,30,128.907213
-9416.64429,21,128.919721
-7752.856475,23,129.140207
-7511.485956,23,129.35813
-982.304933,30,129.583623
-823.577706,30,129.808871
-798.990223,30,130.039987
-507.484976,30,130.274611
-2979.329822,30,130.496787
-919.37722,30,130.714713
-910.366453,30,130.948424
-1277.610281,30,131.173336
-1780.591417,30,131.396187
-746.881038,30,131.624597
-2880.2861,30,131.852686
-1330.155778,30,132.078536
-1527.615117,30,132.307117
-996.265604,30,132.531418
-494.23898,30,132.754449
-861.563362,30,132.981232
-569.558319,30,133.20168
-984.677831,30,133.441399
-1205.339852,30,133.661634
-755.422299,30,133.894852
-1355.365238,30,134.115749
-763.014874,30,134.34941
-929.990462,30,134.584724
-453.676957,30,134.809212
-1013.525757,30,135.032812
-11460.343845,19,135.244641
-759.381468,30,135.467466
-499.81565,30,135.692966
-786.613621,30,135.920924
-571.96114,30,136.150949
-10423.201203,20,136.164608
-2739.955171,28,136.38842
-761.661766,30,136.614674
-814.74619,30,136.839752
-651.697463,30,137.063842
-676.598856,30,137.2889
-2689.678833,28,137.508422
-501.712955,30,137.739168
-701.247355,30,137.968489
-543.209611,30,138.186248
-819.559745,30,138.431266
-562.254566,30,138.663264
-833.406415,30,138.892362
-623.959972,30,139.115011
-735.452691,30,139.345424
-644.120671,30,139.569661
-7574.94682,23,139.796586
-446.633546,30,140.016913
-862.836681,30,140.242291
-716.48114,30,140.474154
-846.131838,30,140.691611
-778.776414,30,140.917724
-711.107399,30,141.144129
-680.160132,30,141.370951
-770.408689,30,141.60543
-1104.276413,30,141.828124
-622.980614,30,142.050214
-1350.234963,30,142.277892
-855.8015,30,142.495768
-811.686972,30,142.729623
-611.516942,30,142.955572
-847.973924,30,143.179338
-11421.701665,19,143.192401
-1756.892226,30,143.450368
-1342.786148,30,143.689081
-689.992249,30,143.911451
-939.82698,30,144.142431
-962.272432,30,144.376045
-19170.174947,11,144.588677
-618.280442,30,144.821898
-280.547645,30,145.049497
-873.23346,30,145.27298
-870.836944,30,145.500541
-11384.245233,19,145.51261
-656.165004,30,145.734172
-483.497937,30,145.96225
-449.903291,30,146.184969
-1060.744169,30,146.401754
-752.72977,30,146.623986
